Direction,YYYYMM,Foreign Initial Country,HS Code 2 Digit,TEUS
I,201809,ARGENTINA,15,10
I,201809,BAHAMAS,70,32.32
I,201809,BELIZE,17,4
I,201809,BRAZIL,25,189.72
I,201809,COLOMBIA,7,59.87
I,201809,COLOMBIA,10,2
I,201809,COLOMBIA,27,2.02
I,201809,COLOMBIA,47,14
I,201809,COLOMBIA,,81.45
I,201809,DOMINICAN REPUBLIC,46,7.68
I,201809,DOMINICAN REPUBLIC,52,36.21
I,201809,DOMINICAN REPUBLIC,64,9.24
I,201809,ECUADOR,8,53.73
I,201809,GERMANY,15,2
I,201809,GUATEMALA,56,4.5
I,201809,ITALY,42,2.15
I,201809,JAMAICA,3,2
I,201809,JAMAICA,30,0.17
I,201809,NETHERLANDS,87,0.63
I,201809,PANAMA,48,11.55
I,201809,PANAMA,70,0
I,201809,PERU,40,4
I,201809,PORTUGAL,9,1.95
I,201809,PORTUGAL,73,10.99
I,201809,PORTUGAL,84,14.75
I,201809,TRINIDAD AND TOBAGO,44,8
I,201809,TRINIDAD AND TOBAGO,90,0.35
I,201809,UNITED KINGDOM,25,2.29
I,201809,UNITED KINGDOM,39,7.21
I,201809,UNITED KINGDOM,42,3
I,201809,UNITED KINGDOM,82,1.32
I,201809,VIRGIN ISLAND,40,10.26
I,201809,BELGIUM,19,7
I,201809,BELGIUM,39,16.43
I,201809,BELGIUM,82,0.25
I,201809,BRAZIL,42,2
I,201809,BRAZIL,83,0.01
I,201809,GERMANY,90,19
I,201809,GUATEMALA,34,10.5
I,201809,HAITI,61,2.57
I,201809,ITALY,83,5.44
I,201809,ITALY,94,122.09
I,201809,LEEWARD AND WINDWARD,85,5
I,201809,NICARAGUA,22,7.62
I,201809,PANAMA,11,12
I,201809,PANAMA,62,4.97
I,201809,SPAIN-S,70,41.18
I,201809,TRINIDAD AND TOBAGO,87,6
I,201809,TURKEY,84,1.75
I,201809,UNITED KINGDOM,17,1.75
I,201809,UNITED KINGDOM,94,13.64
I,201809,VENEZUELA,73,8
I,201809,BAHAMAS,2,2
I,201809,BAHAMAS,63,12
I,201809,BELGIUM,18,8
I,201809,BELGIUM,83,4.2
I,201809,BELGIUM,90,1.15
I,201809,BELIZE,,1
I,201809,BRAZIL,94,89.65
I,201809,BRAZIL,96,2
I,201809,CHILE,48,10.61
I,201809,COLOMBIA,69,71.33
I,201809,COSTA RICA,73,34.82
I,201809,DOMINICAN REPUBLIC,76,6.25
I,201809,GUATEMALA,12,8.25
I,201809,ITALY,7,11.5
I,201809,ITALY,27,1
I,201809,MEXICO,62,2.75
I,201809,NETHERLANDS,35,1
I,201809,NETHERLANDS,89,5.06
I,201809,NETHERLANDS ANTILLES,86,0
I,201809,NICARAGUA,87,4
I,201809,PANAMA,2,14
I,201809,PERU,61,4
I,201809,PORTUGAL,22,72
I,201809,PORTUGAL,52,4
I,201809,SPAIN-S,93,0.92
I,201809,TRINIDAD AND TOBAGO,33,0.71
I,201809,TURKS AND CAICOS IS,95,3
I,201809,UNITED KINGDOM,72,1.17
I,201809,UNITED KINGDOM,85,2.38
I,201809,VIRGIN ISLAND,25,1.75
I,201809,BAHAMAS,16,1
I,201809,BAHAMAS,23,0.01
