Direction,YYYYMM,Foreign Initial Country,HS Code 2 Digit,TEUS
I,201808,BAHAMAS,52,0.13
I,201808,BAHAMAS,69,146.71
I,201808,BAHAMAS,81,3
I,201808,BARBADOS,44,2.25
I,201808,BELGIUM,12,2
I,201808,BELGIUM,31,2
I,201808,BELIZE,84,0.66
I,201808,BERMUDA,87,1
I,201808,COLOMBIA,6,54.34
I,201808,COLOMBIA,13,2.16
I,201808,COLOMBIA,42,3
I,201808,COLOMBIA,44,212.47
I,201808,COLOMBIA,65,46.26
I,201808,COLOMBIA,90,8.29
I,201808,COSTA RICA,32,0.44
I,201808,ECUADOR,73,0.29
I,201808,ECUADOR,84,0.58
I,201808,GERMANY,27,13.97
I,201808,GERMANY,72,4
I,201808,GUATEMALA,49,0.86
I,201808,GUATEMALA,57,0.1
I,201808,GUATEMALA,76,8.25
I,201808,GUATEMALA,87,4.84
I,201808,HAITI,67,3
I,201808,HONDURAS,4,2
I,201808,HONDURAS,6,2.01
I,201808,HONDURAS,13,3.93
I,201808,HONDURAS,59,2.25
I,201808,HONDURAS,90,5.5
I,201808,ITALY,86,0.25
I,201808,JAMAICA,32,0.14
I,201808,JAMAICA,62,0.14
I,201808,NETHERLANDS ANTILLES,39,6.19
I,201808,PANAMA,34,2
I,201808,PANAMA,64,1.85
I,201808,PERU,69,80
I,201808,SPAIN-S,68,29.22
I,201808,TRINIDAD AND TOBAGO,84,2.68
I,201808,UNITED KINGDOM,86,1.75
I,201808,ARGENTINA,35,1.75
I,201808,ARGENTINA,,16.37
I,201808,BAHAMAS,8,4.04
I,201808,BAHAMAS,14,2
I,201808,BELGIUM,9,108
I,201808,BELGIUM,84,31.89
I,201808,BELGIUM,86,10
I,201808,BELIZE,8,10
I,201808,BRAZIL,32,0.54
I,201808,BRAZIL,86,1
I,201808,COLOMBIA,18,1.61
I,201808,COLOMBIA,33,19
I,201808,COLOMBIA,96,10.8
I,201808,ECUADOR,69,39.33
I,201808,GUATEMALA,86,2.53
I,201808,NETHERLANDS,90,3.5
I,201808,NICARAGUA,50,4
I,201808,NICARAGUA,73,0.91
I,201808,PANAMA,85,3.84
I,201808,PANAMA,94,5.93
I,201808,PEOPLES REP OF CHINA,28,0.86
I,201808,PERU,8,20
I,201808,PERU,52,1.7
I,201808,SPAIN-S,15,47.37
I,201808,TRINIDAD AND TOBAGO,15,1
I,201808,UNITED KINGDOM,56,0.05
I,201808,ARGENTINA,15,6
I,201808,BAHAMAS,24,2
I,201808,BAHAMAS,76,65.89
I,201808,BELIZE,44,0.33
I,201808,BELIZE,90,9
I,201808,COLOMBIA,27,0.01
I,201808,COLOMBIA,35,2.84
I,201808,COLOMBIA,,111.78
I,201808,COSTA RICA,40,60.69
I,201808,DOMINICAN REPUBLIC,16,2
I,201808,DOMINICAN REPUBLIC,46,6.24
I,201808,ECUADOR,8,34.77
I,201808,GERMANY,15,0.85
I,201808,GERMANY,66,0.13
I,201808,GUATEMALA,39,84.72
