Direction,YYYYMM,Foreign Initial Country,HS Code 2 Digit,TEUS
I,201712,BAHAMAS,10,7.68
I,201712,BAHAMAS,27,11
I,201712,BAHAMAS,72,10.75
I,201712,BAHAMAS,73,7.33
I,201712,BARBADOS,39,2
I,201712,BELGIUM,29,11
I,201712,CAYMAN ISLANDS,84,0.58
I,201712,CHILE,8,93.59
I,201712,CHILE,22,87.71
I,201712,CHILE,44,49.61
I,201712,COSTA RICA,48,12.03
I,201712,DOMINICAN REPUBLIC,24,190.06
I,201712,ECUADOR,38,0.75
I,201712,GERMANY,17,0.44
I,201712,HAITI,62,290.73
I,201712,HAITI,68,13.93
I,201712,HONDURAS,20,108.71
I,201712,ITALY,12,4
I,201712,LEEWARD AND WINDWARD,76,2
I,201712,NETHERLANDS ANTILLES,33,2
I,201712,PERU,7,213.83
I,201712,PERU,,23.99
I,201712,PORTUGAL,25,21.73
I,201712,SPAIN-S,27,2
I,201712,SPAIN-S,72,1
I,201712,SPAIN-S,85,16.89
I,201712,VENEZUELA,11,2
I,201712,BELGIUM,23,4
I,201712,BELGIUM,74,42
I,201712,BELIZE,84,2.19
I,201712,BRAZIL,74,2
I,201712,BRAZIL,85,10.98
I,201712,CHILE,83,0
I,201712,COLOMBIA,59,16
I,201712,COSTA RICA,32,0.37
I,201712,COSTA RICA,62,36.83
I,201712,DOMINICAN REPUBLIC,40,3.12
I,201712,GERMANY,38,0.22
I,201712,GERMANY,85,30.98
I,201712,HONDURAS,8,815.97
I,201712,HONDURAS,19,10.76
I,201712,HONDURAS,21,11.98
I,201712,HONDURAS,59,6.75
I,201712,ISRAEL,63,2
I,201712,ITALY,48,10.75
I,201712,LEEWARD AND WINDWARD,86,0
I,201712,NETHERLANDS,84,5
I,201712,NETHERLANDS ANTILLES,39,1.75
I,201712,NICARAGUA,12,0.01
I,201712,SPAIN-S,7,45.99
I,201712,VENEZUELA,62,1
I,201712,VIRGIN ISLAND,15,0.19
I,201712,ARGENTINA,,12
I,201712,BAHAMAS,69,43.5
I,201712,BELGIUM,76,0.36
I,201712,COLOMBIA,44,379.1
I,201712,COLOMBIA,83,2.31
I,201712,COLOMBIA,87,46.83
I,201712,DOMINICAN REPUBLIC,60,2.08
I,201712,DOMINICAN REPUBLIC,61,24.86
I,201712,DOMINICAN REPUBLIC,63,7
I,201712,ECUADOR,84,3
I,201712,GERMANY,28,8.13
I,201712,GERMANY,,84.56
I,201712,GREECE,25,5.25
I,201712,GUATEMALA,54,3.14
I,201712,HONDURAS,22,22.14
I,201712,HONDURAS,44,171.14
I,201712,JAMAICA,32,0.47
I,201712,JAMAICA,62,2
I,201712,NETHERLANDS ANTILLES,82,0.64
I,201712,PANAMA,64,0.25
I,201712,PERU,69,32
I,201712,PORTUGAL,94,25.5
I,201712,UNITED KINGDOM,9,0.08
I,201712,BAHAMAS,48,4.49
I,201712,BELGIUM,9,28
I,201712,BELGIUM,84,16.65
I,201712,BELGIUM,86,2
I,201712,BELIZE,8,4
I,201712,BELIZE,22,0.88
I,201712,BRAZIL,68,43.59
I,201712,COLOMBIA,33,6.11
I,201712,COLOMBIA,96,8.51
I,201712,GERMANY,15,1
I,201712,GERMANY,68,0
I,201712,GUATEMALA,20,62.02
I,201712,JAMAICA,19,0.17
I,201712,NICARAGUA,9,11
I,201712,NICARAGUA,84,2
I,201712,PANAMA,74,8
I,201712,PANAMA,85,5.01
I,201712,PORTUGAL,73,59.78
I,201712,REP. OF SOUTH AFRICA,22,1
I,201712,TURKS AND CAICOS IS,87,8
I,201712,UNITED KINGDOM,39,10.16
I,201712,VIRGIN ISLAND,57,0.1
I,201712,BELGIUM,80,0.29
I,201712,BELIZE,87,3
I,201712,DOMINICAN REPUBLIC,46,8.88
I,201712,DOMINICAN REPUBLIC,64,39.9
I,201712,ECUADOR,76,12
I,201712,GERMANY,37,0.53
I,201712,GUATEMALA,2,12.14
I,201712,GUATEMALA,19,37.59
I,201712,GUATEMALA,21,39.6
I,201712,GUATEMALA,39,54.2
I,201712,GUATEMALA,56,0
I,201712,ITALY,6,2
I,201712,ITALY,90,2.3
I,201712,NETHERLANDS ANTILLES,12,6
I,201712,NICARAGUA,8,6.24
I,201712,PANAMA,7,13.14
I,201712,PANAMA,11,2
I,201712,PORTUGAL,61,0.25
I,201712,SPAIN-S,24,1
I,201712,SPAIN-S,48,15.64
I,201712,SPAIN-S,57,1.5
I,201712,UNITED KINGDOM,90,0.57
I,201712,VIRGIN ISLAND,40,16.26
I,201712,BAHAMAS,20,7.93
I,201712,BAHAMAS,62,2
I,201712,BELGIUM,4,6.75
I,201712,BELGIUM,90,0.04
I,201712,BRAZIL,40,15.1
I,201712,BRAZIL,44,1000.12
I,201712,BRAZIL,90,2
I,201712,CHILE,38,3
I,201712,COLOMBIA,25,40.03
I,201712,COLOMBIA,34,3.12
I,201712,COLOMBIA,64,0.25
I,201712,COLOMBIA,89,8
I,201712,DOMINICAN REPUBLIC,31,3
I,201712,ECUADOR,49,0.25
I,201712,GERMANY,24,4
I,201712,GERMANY,48,28.34
I,201712,GUATEMALA,6,23.14
I,201712,GUATEMALA,17,2.62
I,201712,GUATEMALA,42,2.62
I,201712,GUATEMALA,44,13.44
I,201712,GUATEMALA,83,0.01
I,201712,HAITI,61,5.1
I,201712,ITALY,44,10.59
I,201712,ITALY,83,16.89
I,201712,ITALY,87,8.46
I,201712,MEXICO,,2
I,201712,NETHERLANDS ANTILLES,28,1
I,201712,NICARAGUA,87,18
I,201712,PANAMA,15,3
I,201712,PANAMA,62,3
I,201712,PANAMA,68,5.98
I,201712,PORTUGAL,52,2
I,201712,PORTUGAL,69,4.76
I,201712,SPAIN-S,70,12.7
I,201712,SPAIN-S,91,0.02
I,201712,ARGENTINA,48,2
I,201712,BAHAMAS,19,2
I,201712,BARBADOS,38,40
I,201712,BRAZIL,33,2.4
I,201712,COSTA RICA,29,1
I,201712,DOMINICAN REPUBLIC,10,1
I,201712,ECUADOR,20,14
I,201712,GERMANY,70,3
I,201712,GUATEMALA,33,7.2
I,201712,ITALY,33,4.78
I,201712,NETHERLANDS,95,6
I,201712,TRINIDAD AND TOBAGO,86,0.5
I,201712,TURKS AND CAICOS IS,90,2
I,201712,UNITED KINGDOM,33,4.71
I,201712,UNITED KINGDOM,,21.93
I,201712,URUGUAY,24,2
I,201712,URUGUAY,70,11
I,201712,VENEZUELA,42,0.16
I,201712,ARGENTINA,11,5.45
I,201712,ARGENTINA,70,2
I,201712,BAHAMAS,3,10
I,201712,BAHAMAS,22,26.03
I,201712,BELIZE,3,5
I,201712,COLOMBIA,48,9.74
I,201712,COLOMBIA,72,17.66
I,201712,COLOMBIA,74,5.7
I,201712,COLOMBIA,85,17.59
I,201712,DOMINICAN REPUBLIC,20,22.74
I,201712,DOMINICAN REPUBLIC,32,0.02
I,201712,ECUADOR,3,12
I,201712,GERMANY,56,4
I,201712,GUATEMALA,28,0.28
I,201712,HONDURAS,38,37.5
I,201712,HONDURAS,74,48.94
I,201712,ISRAEL,39,7
I,201712,ITALY,35,0.16
I,201712,JAMAICA,29,0.13
I,201712,MEXICO,69,28
I,201712,NETHERLANDS,3,4
I,201712,NETHERLANDS,17,6
I,201712,PANAMA,22,32.25
I,201712,PORTUGAL,49,2
I,201712,SPAIN-S,25,215.4
I,201712,TRINIDAD AND TOBAGO,39,2.11
I,201712,UNITED KINGDOM,89,9.3
I,201712,URUGUAY,2,2
I,201712,BELGIUM,89,6.38
I,201712,BELIZE,74,0.5
I,201712,BRAZIL,64,17.73
